LOCATION_NAME	LOC_ELECTORATE	LOC_S_ADDRESS1	LOC_S_SUBURB	LOC_S_STATE	LOC_S_POSTCODE
Matraville PS	Maroubra	Bunnerong & Beauchamp Rds	MATRAVILLE	NSW	2036
St Andrew's College-Holy Family Campus	Blacktown	116-132 Quakers Road	MARAYONG	NSW	2148
Ashfield PS	Summer Hill	Liverpool Road	ASHFIELD	NSW	2131
North Ryde PS	Ryde	Coxs Road	NORTH RYDE	NSW	2113
Beverly Hills PS	Kogarah	King Georges Rd	BEVERLY HILLS	NSW	2209
Bexley North PS	Rockdale	Kingsland Road	BEXLEY	NSW	2207
Kingsgrove PS	Kogarah	Kingsgrove Road	KINGSGROVE	NSW	2208
Lugarno PS	Oatley	Old Forest Road	LUGARNO	NSW	2210
Peakhurst West PS	Oatley	Ogilvy Street	PEAKHURST	NSW	2210
All Saints Greek Orthodox Church Hall	Canterbury	Isabel & Cecilia Sts	BELMORE	NSW	2192
Nan Tian of Sydney	Parramatta	22 Cowper Street	PARRAMATTA	NSW	2150
Eastlakes PS	Heffron	Florence Ave	EASTLAKES	NSW	2018
Dong San Uniting Church	Parramatta	125 Great Western Highway	MAYS HILL	NSW	2145
Mount Druitt PS	Londonderry	51 Belmore Avenue	MOUNT DRUITT	NSW	2770
Auburn North PS	Auburn	Adderley Street	AUBURN	NSW	2144
Wiley Park GHS	Lakemba	The Boulevarde	PUNCHBOWL	NSW	2196
Burwood PS	Strathfield	1 Conder Street	BURWOOD	NSW	2134
Trinity Grammar Preparatory School - Strathfield	Strathfield	125 The Boulevarde	STRATHFIELD	NSW	2135
Auburn PS	Auburn	Auburn Rd & Beatrice Street	AUBURN	NSW	2144
St Raphaels Greek School	Liverpool	19-29 Forbes Street	LIVERPOOL	NSW	2170
Arabic Ethnic Education Society	Summer Hill	8 Leofrene Avenue	MARRICKVILLE	NSW	2204
Latvian House	Strathfield	32 Parnell Street	STRATHFIELD	NSW	2135
Eastwood PS	Ryde	Rowe Street	EASTWOOD	NSW	2122
Beresford Road PS	Prospect	Beresford Road	PENDLE HILL SOUTH	NSW	2145
Beverly Hills North PS	Lakemba	Shorter Ave/King Georges	BEVERLY HILLS	NSW	2209
Camden PS	Camden	John Street	CAMDEN	NSW	2570
Clemton Park PS	Canterbury	Bexley Road	EARLWOOD	NSW	2206
Connells Point PS	Oatley	Riverview Avenue	HURSTVILLE SOUTH	NSW	2221
Danebank Anglican School for Girls	Kogarah	84-96 Park Road	HURSTVILLE	NSW	2220
Dulwich Hill PS	Summer Hill	Kintore Street	DULWICH HILL	NSW	2203
Kyeemagh Infants	Rockdale	Beehag Street	ROCKDALE	NSW	2216
McCallums Hill PS	Canterbury	McCallum Street	ROSELANDS	NSW	2196
Panania PS	East Hills	Lawler Street	PANANIA	NSW	2213
Peakhurst PS	Lakemba	Bonds Road	PEAKHURST	NSW	2210
South Coogee PS	Coogee	Moverly Road	SOUTH COOGEE	NSW	2034
Strathfield South PS	Strathfield	457 Liverpool Road	ENFIELD	NSW	2136
Summer Hill PS	Canterbury	Moonbie Street	SUMMER HILL	NSW	2130
Trinity Grammar School - Summer Hill	Canterbury	119 Prospect Road	SUMMER HILL	NSW	2130
Our Lady of Fatima Portuguese School	Wollongong	127 Flagstaff Road	WARRAWONG	NSW	2502
Warrawong HS	Wollongong	Cowper Street	WARRAWONG	NSW	2502
Chatswood HS	Willoughby	Centennial Avenue	CHATSWOOD WEST	NSW	2067
Hunters Hill PS	Lane Cove	Alexandra St	HUNTERS HILL	NSW	2110
Lindsay Park PS	Keira	Thames Street	WOLLONGONG	NSW	2500
Manly Vale PS	Manly	Sunshine Street	MANLY VALE	NSW	2093
Manly Village PS	Manly	Darley Road	MANLY	NSW	2095
Manly West PS	Manly	Griffith Street	BALGOWLAH	NSW	2093
Martin Luther Lutheran Church - Sydney German	Sydney	96 Goulburn Street	SYDNEY	NSW	2000
Online - La Perouse	Maroubra	22 Goorawahl Ave	LA PEROUSE	NSW	2036
Rainbow St PS	Coogee	Rainbow Street	RANDWICK	NSW	2031
St Ives PS	Davidson	Horace Street	ST IVES	NSW	2075
Sutherland PS	Heathcote	Eton Street	SUTHERLAND	NSW	2232
Woodport PS	Terrigal	The Entrance Road	ERINA	NSW	2250
Cleveland Street Intensive English HS	Sydney	Cleveland & Chalmer Sts	SURRY HILLS	NSW	2010
Bankstown PS	Bankstown	Restwell Street	BANKSTOWN	NSW	2200
Burwood PS	Strathfield	1 Conder Street	BURWOOD	NSW	2134
Canley Vale PS	Fairfield	Canley Vale Road	CANLEY VALE	NSW	2166
Harcourt PS	Canterbury	First Ave	CAMPSIE	NSW	2194
Lidcombe PS	Auburn	John Street	LIDCOMBE	NSW	2141
Rockdale PS	Rockdale	Lord Street	ROCKDALE	NSW	2216
Cringila Turkish School	Wollongong	4-6 Bethlehem Street	CRINGILA	NSW	2502
Grays Point PS	Cronulla	Angle Road	GRAYS POINT	NSW	2232
Naremburn PS	Willoughby	250 Willoughby Road	NAREMBURN	NSW	2065
Port Hacking HS	Miranda	Kingsway	MIRANDA	NSW	2228
Homebush PS	Strathfield	Rochester Street	HOMEBUSH	NSW	2140
Chinese Presbyterian Church	Sydney	Crown & Albion Streets	SURRY HILLS	NSW	2010
Sydney Young Nak Presbyterian Church - Telopea	Parramatta	7-9 Manson Street	TELOPEA	NSW	2117
Fairfield West PS	Fairfield	Palmerston Road	FAIRFIELD WEST	NSW	2165
Ryde PS	Ryde	Pope Street	RYDE	NSW	2112
Girraween PS	Prospect	Bando Road	GIRRAWEEN	NSW	2145
Amity College-Auburn	Auburn	26-29 Kerr Parade	AUBURN	NSW	2144
Blacktown GHS	Blacktown	Fifth Avenue	BLACKTOWN	NSW	2148
Parramatta West PS	Granville	Cnr Auburn & Young Streets	PARRAMATTA	NSW	2150
Penrith PS	Penrith	High Street	PENRITH	NSW	2750
Rydalmere PS	Parramatta	Victoria Road	RYDALMERE	NSW	2116
Floraville PS	Swansea	Floraville Road	BELMONT	NSW	2280
Lambton HS	Newcastle	Womboin & Young Rds	LAMBTON	NSW	2299
Jesmond PS	Wallsend	Ralph Street	JESMOND	NSW	2299
Jesmond PS	Wallsend	Ralph Street	JESMOND	NSW	2299
Lambton PS	Wallsend	Croudace St	LAMBTON	NSW	2304
Chatswood HS	Willoughby	Centennial Avenue	CHATSWOOD WEST	NSW	2067
Cherrybrook Technology HS	Epping	Purchase Road	CHERRYBROOK	NSW	2126
Epping BHS	Ryde	213 Vimiera Road	EASTWOOD	NSW	2122
Flinders PS	Shellharbour	Adam Murray Way	FLINDERS	NSW	2529
Artamon Guides Hall	Lane Cove	Thompson Avenue	ARTAMON	NSW	2064
Glenwood PS	Macquarie Fields	Belmont Road	GLENFIELD	NSW	2167
Smith's Hill HS	Wollongong	Gipps Road	WOLLONGONG	NSW	2500
Westmead PS	Granville	Hawkesbury Road	WESTMEAD	NSW	2145
Macedonia Park	Wollongong	Hooka Creek Road	BERKELEY	NSW	2506
Illawarra Sports HS	Wollongong	Gura Street	BERKELEY	NSW	2506
Serbian Language School	Wollongong	82 Kenny Street	WOLLONGONG	NSW	2500
Clovelly PS	Coogee	Arden Street	WAVERLEY	NSW	2024
Lane Cove PS	Lane Cove	Austin St & Longueville Roads	LANE COVE	NSW	2066
Rose Bay PS	Vaucluse	Albermarle Street	ROSE BAY	NSW	2029
South Coogee PS	Coogee	Moverly Road	COOGEE	NSW	2034
St Ives North PS	Davidson	87 Memorial Avenue	ST IVES	NSW	2075
Woollahra PS	Vaucluse	Forth Street	WOOLLAHRA	NSW	2025
St Andrews Ukrainian School	Auburn	57 Church Street	LIDCOMBE	NSW	2141
Northmead Creative and Performing Arts HS	Seven Hills	Campbell Street	NORTHMEAD	NSW	2152
Muirfield HS	Baulkham Hills	Barclay Road	NORTH ROCKS	NSW	2150
Yagoona PS	Bankstown	425 Hume Highway	YAGOONA	NSW	2199
Peakhurst West PS	Oatley	Ogilvy Street	PEAKHURST	NSW	2210
Manly Village PS	Manly	Darley Road	MANLY	NSW	2095
Rockdale PS	Rockdale	Lord Street	ROCKDALE	NSW	2216
Bonnyrigg PS	Cabramatta	Tarlington Parade	BONNYRIGG	NSW	2177
Hampden Park PS	Lakemba	Hampden Rd	LAKEMBA	NSW	2195
Hellenic Orthodox Parish & Community of Blacktown & District	Blacktown	47-49 Balmoral Street	BLACKTOWN	NSW	2148
Epping PS	Epping	Norfolk Road	EPPING	NSW	2121
John Purchase PS	Epping	Purchase Road	CHERRYBROOK	NSW	2126
Thornleigh West PS	Epping	Giblett Ave	THORNLEIGH	NSW	2120
Waitara PS	Ku-ring-gai	Edgeworth David Avenue	WAHROONGA	NSW	2077
Greek Afternoon School	Wollongong	18 Stewart Street	WOLLONGONG	NSW	2500
Homebush West PS	Strathfield	Exeter Road	HOMEBUSH WEST	NSW	2140
Dundas PS	Parramatta	Kissing Point Road	DUNDAS	NSW	2117
Berala PS	Auburn	32 Auburn Road	BERALA	NSW	2141
Cabramatta PS	Cabramatta	Levuka Street	CABRAMATTA	NSW	2166
Fairfield PS	Fairfield	68-82 Smart Street	FAIRFIELD	NSW	2165
Harcourt PS	Canterbury	First Ave	CAMPSIE	NSW	2194
Homebush West PS	Strathfield	Exeter Road	HOMEBUSH WEST	NSW	2140
Parramatta PS	Parramatta	Macquarie St	PARRAMATTA	NSW	2150
Cabramatta PS	Cabramatta	Levuka Street	CABRAMATTA	NSW	2166
Canley Vale PS	Fairfield	Canley Vale Road	CANLEY VALE	NSW	2166
Harrington Street PS	Cabramatta	Harrington Street	CABRAMATTA	NSW	2166
Holy Spirit College - Lakemba	Lakemba	39 Croydon Street	LAKEMBA	NSW	2195
La Salle Catholic - Bankstown	Bankstown	544 Chapel Rd	BANKSTOWN	NSW	2200
St Brigid's Primary - Marrickville	Summer Hill	392A Marrickville Rd	MARRICKVILLE	NSW	2204
Villawood North PS - Bligh St	Fairfield	Bligh Street	FAIRFIELD EAST	NSW	2165
Green Valley PS	Liverpool	Green Valley Rd	GREEN VALLEY	NSW	2168
Homebush PS	Strathfield	Rochester Street	HOMEBUSH	NSW	2140
Marrickville West PS	Summer Hill	Livingstone Road	MARRICKVILLE	NSW	2204
St Charbel's College - Punchbowl	Lakemba	142 Highclere Avenue	PUNCHBOWL	NSW	2196
Rosehill PS	Parramatta	Prospect Street	ROSEHILL	NSW	2142
Ashfield BHS	Summer Hill	117 Liverpool Road	ASHFIELD	NSW	2131
Cardiff North PS	Wallsend	Wansbeck Valley Road	CARDIFF	NSW	2285
Holsworthy PS	Holsworthy	Infantry Pde	HOLSWORTHY	NSW	2173
Hornsby North PS	Hornsby	Ida Street	HORNSBY	NSW	2077
Quakers Hill HS	Riverstone	Lalor Road	QUAKERS HILL	NSW	2763
Seven Hills West PS	Blacktown	Lucas Rd & Sackville St	SEVEN HILLS	NSW	2147
King Park PS	Fairfield	Humphries Road	ST JOHNS PARK	NSW	2176
Phuoc Hue Temple Wetherill Park	Prospect	365 Victoria Street	WETHERILL PARK	NSW	2164
Cabramatta West PS	Cabramatta	Broad Street	CABRAMATTA	NSW	2166
Free Serbian Orthodox Church	Cabramatta	348 Cabramatta Road	CABRAMATTA	NSW	2166
Mercy College	Willoughby	101 Archer Street	CHATSWOOD	NSW	2067
Bankstown GHS	Bankstown	Mona Street	BANKSTOWN	NSW	2200
Bonnyrigg HS	Cabramatta	Elizabeth Drive	BONNYRIGG	NSW	2177
Cabramatta PS	Cabramatta	Levuka Street	CABRAMATTA	NSW	2166
Cabramatta West PS	Cabramatta	Broad Street	CABRAMATTA	NSW	2166
Fairvale PS	Fairfield	The Wolseley Drive	FAIRFIELD	NSW	2165
Marrickville HS	Summer Hill	Northcote Street	MARRICKVILLE	NSW	2204
Amity College - Auburn	Auburn	26-28 Kerr Parade	AUBURN	NSW	2144
Australian Bosnian & Herzegovinian Cultural Association - Leppington	Camden	205 Bringelly Road	LEPPINGTON	NSW	2179
Australian Bosnian Islamic Society Gazi Husrev-beg-Penshurst	Oatley	447 Forest  Road	PENSHURST	NSW	2164
Australian Bosnian Islamic Society Gazi Husrev-beg-Smithfield	Prospect	30 Bourke Street	SMITHFIELD	NSW	2164
Moorefield GHS	Rockdale	Princes Highway	KOGARAH	NSW	2217
Chullora PS	Lakemba	Norfolk& Waterloo Rds	GREENACRE	NSW	2190
McCallums Hill PS	Canterbury	McCallum Street	ROSELANDS	NSW	2196
Merrylands PS	Granville	Fowler Road	MERRYLANDS	NSW	2160
Cherrybrook Technology HS	Epping	Purchase Road	CHERRYBROOK	NSW	2126
St Nicholas Greek Orthodox Church	Summer Hill	203 Livingstone Road	MARRICKVILLE	NSW	2204
Punchbowl BHS	Bankstown	Kelly Street	PUNCHBOWL	NSW	2196
Blacktown GHS	Blacktown	Fifth Avenue	BLACKTOWN	NSW	2148
Chatswood PS	Willoughby	Pacific Hwy	CHATSWOOD	NSW	2067
Marsden HS - West Ryde	Ryde	Winbourne Ave	WEST RYDE	NSW	2114
Sydney Full Gospel Church	Bankstown	204 Waterloo Road	GREENACRE	NSW	2190
Bankstown West PS	Bankstown	William Street	BANKSTOWN WEST	NSW	2200
Lurnea PS	Holsworthy	Reilly Street	LURNEA	NSW	2170
Old Guildford PS	Fairfield	Woodville Road	GUILDFORD	NSW	2161
Cabramatta PS	Cabramatta	Levuka Street	CABRAMATTA	NSW	2166
Chester Hill PS	Auburn	Proctor Pde	CHESTER HILL	NSW	2162
St Johns Park PS	Cabramatta	Sandringham Street	ST JOHNS PARK	NSW	2176
James Ruse Agricultural HS	Parramatta	Felton Road	CARLINGFORD	NSW	2118
St Ives HS	Davidson	Yarrabung Rd	ST IVES	NSW	2075
Matraville PS	Maroubra	Bunnerong & Beauchamp Rds	MATRAVILLE	NSW	2036
Australian Islamic Mission (AIM) Hall - Punchbowl	Lakemba	25-29 Matthews Street	PUNCHBOWL	NSW	2196
Miller PS	Liverpool	Shropshire Street	MILLER	NSW	2168
St Joachim's - Lidcombe	Auburn	7 Mary Street	LIDCOMBE	NSW	2141
Pennant Hills HS	Hornsby	Laurence Street	PENNANT HILLS	NSW	2120
Bellevue Hill PS	Vaucluse	Victoria Road	BELLEVUE HILL	NSW	2023
Auburn PS	Auburn	Auburn Rd & Beatrice Street	AUBURN	NSW	2144
Fairvale PS	Fairfield	The Wolseley Drive	FAIRFIELD	NSW	2165
Harrington Street PS	Cabramatta	Harrington Street	CABRAMATTA	NSW	2166
Regents Park PS	Bankstown	1 Auburn Road	REGENTS PARK	NSW	2143
Cammeray PS	Willoughby	Palmer Street	CAMMERAY	NSW	2062
Hannans Road PS	Lakemba	Hannans Road	RIVERWOOD	NSW	2210
Dubbo South PS	Dubbo	Fitzroy Street	DUBBO	NSW	2830
Marayong South PS	Blacktown	McClean Street	BLACKTOWN	NSW	2148
Mayfield West PS	Newcastle	Gregson Avenue	MAYFIELD	NSW	2304
Minto PS	Macquarie Fields	Pembroke & Redfern Rds	MINTO	NSW	2566
Parramatta North PS	Parramatta	Albert Street	NORTH PARRAMATTA	NSW	2150
Sturt PS	Wagga Wagga	White Avenue	WAGGA WAGGA	NSW	2650
The Ponds HS	Riverstone	Wentworth Street	THE PONDS	NSW	2769
Darcy Road PS	Seven Hills	Darcy Road	WENTWORTHVILLE	NSW	2145
Eastwood PS	Ryde	Rowe Street	EASTWOOD	NSW	2122
Holsworthy PS	Holsworthy	Infantry Pde	HOLSWORTHY	NSW	2173
Hornsby South PS	Hornsby	Clarke Road	HORNSBY	NSW	2077
Strathfield South PS	Strathfield	457 Liverpool Road	ENFIELD	NSW	2136
James Busby HS	Liverpool	Rundle Road	BUSBY	NSW	2168
Lansvale PS	Cabramatta	Chancery Street	CANLEY VALE	NSW	2166
Denistone East PS	Ryde	Lovell Road	EASTWOOD	NSW	2122
Epping West PS	Epping	Carlingford Road	EPPING	NSW	2121
Turramurra HS	Ku-ring-gai	Maxwell Street	SOUTH TURRAMURRA	NSW	2074
Australian Confucius Mencius Morality Society Hall	Rockdale	590-592 Forrest Road	BEXLEY	NSW	2207
Georges River College Penshurst Girls Campus	Oatley	2 Austral Street	PENSHURST	NSW	2222
Parramatta PS	Parramatta	Macquarie St	PARRAMATTA	NSW	2150
Willoughby GHS	Willoughby	Mowbray Road	WILLOUGHBY	NSW	2068
Polish Association in Wollongong Inc	Wollongong	143 Gipps Road	GWYNNEVILLE	NSW	2500
Ashfield BHS	Summer Hill	117 Liverpool Road	ASHFIELD	NSW	2131
Ashfield PS	Summer Hill	Liverpool Road	ASHFIELD	NSW	2131
Campsie PS	Canterbury	Harold Street	CAMPSIE	NSW	2194
Canterbury BHS	Canterbury	Holden Street	CANTERBURY	NSW	2193
North Sydney PS (Demonstration School)	North Shore	Bay Road	NORTH SYDNEY	NSW	2060
Green Valley PS	Liverpool	Green Valley Rd	GREEN VALLEY	NSW	2168
Epping West PS	Epping	Carlingford Road	EPPING	NSW	2121
Ashfield PS	Summer Hill	Liverpool Road	ASHFIELD	NSW	2131
Castle Hill HS	Castle Hill	Castle Street	CASTLE HILL	NSW	2154
Co.As.It. School	Balmain	67 Norton Street	LEICHHARDT	NSW	2040
Earlwood PS	Canterbury	Homer Street	EARLWOOD	NSW	2206
Five Dock PS	Drummoyne	Henry Street	FIVE DOCK	NSW	2046
Gladesville PS	Lane Cove	Victoria Road	GLADESVILLE	NSW	2111
Italian Bilingual School	Ryde	30 See Street	MEADOWBANK	NSW	2114
Kegworth PS	Balmain	Tebbutt Street	LEICHHARDT	NSW	2040
New Lambton South PS	Charlestown	St James Road	NEW LAMBTON	NSW	2305
St Catherine of Siena Primary - Prestons	Holsworthy	Dalmeny Drive	PRESTONS	NSW	2170
St Johns Park HS	Cabramatta	Mimosa Road	ST JOHNS PARK	NSW	2176
St Joseph's Primary - Oatley	Oatley	21 Rosa Street	OATLEY	NSW	2223
St Madeleine's Primary - Kenthurst	Castle Hill	28 Annangrove Road	KENTHURST	NSW	2158
Woollahra PS	Vaucluse	Forth Street	WOOLLAHRA	NSW	2025
Quakers Hill HS	Riverstone	Lalor Road	QUAKERS HILL	NSW	2763
Wilkins PS	Marrickville	Park Road	MARRICKVILLE	NSW	2204
Parramatta HS	Parramatta	Great Western Road	PARRAMATTA	NSW	2150
St George Parish Centre	Vaucluse	96 Newcastle Street	ROSE BAY	NSW	2029
Colyton PS	Mount Druitt	Nelson Street	MOUNT DRUITT	NSW	2770
Eastwood PS	Ryde	Rowe Street	EASTWOOD	NSW	2122
